temperature_K,MagpieData mean MeltingT,MagpieData mean NUnfilled,MagpieData avg_dev CovalentRadius,MagpieData mean GSvolume_pa,MagpieData mean Number,dopant_concentration,MagpieData mean NpUnfilled,MagpieData mean MendeleevNumber,dopant_host_radius_mismatch,dopant_host_charge_mismatch,target_value
475.0,900.8814814814816,2.0987654320987654,2.299039780521265,29.27668937134691,49.97530864197531,0.1,1.7530864197530864,82.2716049382716,0.0699999999999999,1.0,13.500000000000002
423.0,895.0545333333333,1.6666666666666667,3.0975999999999986,28.54875555553333,50.093333333333334,0.04,1.3333333333333333,81.65333333333332,0.42,1.0,14.0
585.0,893.8964999999998,1.97,2.584999999999992,29.17816666665,50.290000000000006,0.04,1.72,82.34,0.02,1.0,17.3
298.0,902.48915,2.0,2.5487499999999876,29.19430416665,50.32,0.03,1.7275,82.2975,0.15,0.0,4.0
523.0,901.2897,2.01,2.6502000000000043,29.236466666649996,50.16,0.02,1.72,82.20500000000001,0.04,1.0,14.999999999999998
570.0,881.9335,2.0,3.2750000000000004,28.908671874985,49.150000000000006,0.1,1.75,82.425,0.2299999999999997,0.0,22.000000000000004
600.0,915.9953125,2.0625,2.7900390625,29.06432291665,50.0625,1.0,1.703125,81.890625,0.2199999999999999,2.0,10.33
300.0,887.7941499999998,1.9775,2.932149999999999,29.0647302083175,49.3075,0.03,1.7275,82.3225,0.04,1.0,14.239999999999998
310.0,708.5094999999999,2.8,3.859999999999999,31.02016666665,63.7,0.08,2.75,84.9,0.04,1.0,18.7
570.0,888.9705000000001,2.0,2.8187500000000205,29.131419270817503,49.82500000000001,0.05,1.75,82.4625,0.2299999999999997,0.0,16.000000000000004
300.0,900.4836,2.03,2.8699499999999976,29.358191666649997,50.44,0.02,1.735,82.135,0.14,0.0,13.0
300.0,869.6347120418848,2.1099476439790577,1.9878841040541624,30.446300174502618,50.79057591623037,0.7,1.9267015706806283,83.95287958115182,0.0,0.0,5.999999999999999
560.0,887.6729999999999,1.9625,2.8662499999999973,28.914166666651248,49.3375,0.05,1.7125,82.25,0.04,1.0,14.0
425.0,896.7525874999999,1.9955,2.5156892499999968,29.319899166649996,50.491,0.009,1.74325,82.455,0.39,2.0,20.0
725.0,763.8516666666666,2.3333333333333335,5.5,29.436944444433333,47.666666666666664,0.0,2.1666666666666665,83.16666666666667,0.03,1.0,5.27
523.0,902.3623940149624,2.007481296758105,2.522372373306131,29.211820448861097,50.31670822942643,0.03,1.7281795511221945,82.29426433915212,0.1149999999999999,0.0,16.499999999999996
550.0,907.248625,2.075,2.4106249999999907,29.017731321822495,49.9,0.05,1.7125,81.925,0.32,1.0,14.0
623.0,902.3623940149624,2.007481296758105,2.522372373306131,29.211820448861097,50.31670822942643,0.03,1.7281795511221945,82.29426433915212,0.1149999999999999,0.0,16.0
300.0,887.43275,2.0,2.837499999999994,29.02254166665125,49.825,0.15,1.75,82.4625,0.2299999999999997,0.0,9.0
300.0,900.6218000000001,2.0149999999999997,2.6424999999999876,29.22584166665,50.215,0.06,1.765,82.41,0.03,1.0,11.5
623.0,897.8376059850374,2.002493765586035,2.5049595462714693,29.31571072317531,50.441396508728175,0.01,1.743142144638404,82.44389027431423,0.1149999999999999,0.0,14.0
300.0,899.412425,1.985,2.5262499999999957,29.200491666649995,50.335,0.03,1.7275,82.3425,0.03,1.0,16.189999999999998
300.0,891.0237499999998,2.0125,2.5,29.375729166649997,50.4875,0.05,1.7625,82.4375,0.07,1.0,2.9999999999999996
297.0,889.3128999999999,1.97,2.5350000000000037,29.290942528719,50.790000000000006,0.04,1.72,82.36,0.2599999999999999,1.0,12.199999999999998
300.0,887.6729999999999,1.9625,2.8662499999999973,28.914166666651248,49.3375,0.05,1.7125,82.25,0.04,1.0,12.0
323.0,897.8376059850374,2.002493765586035,2.5049595462714693,29.31571072317531,50.441396508728175,0.01,1.743142144638404,82.44389027431423,0.1149999999999999,0.0,10.0
543.0,891.3641,1.955,2.580249999999995,29.17319166665,50.455,0.06,1.705,82.27499999999999,0.19,1.0,18.3
425.0,901.802625,1.965,2.6188250000000086,29.087641666649997,50.43,0.07,1.6975,82.15,0.39,2.0,13.1
300.0,894.4596999999999,1.985,2.5272500000000027,29.293841666649996,50.485,0.02,1.735,82.42500000000001,0.19,1.0,10.0
425.0,889.943675,2.015000000000001,2.6275000000000293,29.1273166666505,50.080000000000005,0.03,1.7650000000000003,82.40250000000002,0.42,1.0,14.1
300.0,877.6950721153845,2.0721153846153846,2.150286612426022,30.09872596152115,50.65865384615385,0.01,1.8677884615384617,83.50721153846153,0.03,1.0,13.000000000000002
300.0,887.7119749999999,2.035,2.541912500000004,29.226416666649996,50.465,0.07,1.785,82.325,0.0399999999999999,0.0,12.5
300.0,887.6729999999999,1.9625,2.8662499999999973,28.914166666651248,49.3375,0.05,1.7125,82.25,0.04,1.0,10.0
300.0,776.8142484472049,2.017391304347826,11.114386019057903,24.94372670807453,42.10434782608695,0.045,1.768944099378882,81.98012422360249,0.43,1.0,4.199999999999999
