MagpieData avg_dev NUnfilled,temperature_K,dopant_host_radius_mismatch,MagpieData avg_dev CovalentRadius,MagpieData mean NsValence,MagpieData mean NUnfilled,dopant_concentration,MagpieData avg_dev Number,frac s valence electrons,frac_Ag,dopant_host_charge_mismatch,target_value
0.5,300.0,0.43,2.5,1.75,2.0,0.0,1.75,0.1206896551724138,0.25,1.0,0.6
0.5,823.0,0.0,2.5,1.75,2.0,0.08,1.75,0.1206896551724138,0.25,0.0,1.79
0.6447684665918922,300.0,0.0699999999999999,2.347700688992144,1.7721518987341771,2.1265822784810124,0.2,3.5039256529402354,0.124777183600713,0.2278481012658227,1.0,1.05
0.5123500000000001,300.0,0.04,2.5048999999999957,1.75,1.985,0.02,2.0355500000000037,0.1212331139591271,0.25,1.0,0.55
0.5,510.0,0.2699999999999999,2.640937500000005,1.75,2.0,0.05,1.9500000000000008,0.1192504258943781,0.25,0.0,0.48
0.5112500000000002,300.0,0.43,2.5629625000000047,1.75,2.0075000000000003,0.03,1.866249999999999,0.1198835417023462,0.25,1.0,0.5
0.5303125000000001,300.0,0.04,2.8662499999999973,1.75,1.9625,0.05,3.252500000000001,0.1220575414123801,0.25,1.0,0.6
0.5219155176667306,500.0,0.0,1.9878841040541624,1.8167539267015709,2.1099476439790577,0.7,1.389216304377621,0.1228318584070796,0.1832460732984293,0.0,0.55
0.4974999999999999,300.0,0.21,2.502500000000002,1.75,1.995,0.02,1.7525000000000022,0.1206480523957256,0.25,1.0,2.41
0.5,300.0,0.1300000000000001,9.64375,1.75,2.0,0.9,15.57,0.1282051282051282,0.025,0.0,0.55
0.51875,300.0,0.43,11.0875,1.75,2.0125,0.05,7.887499999999999,0.1193520886615515,0.25,1.0,0.48
0.5,298.0,0.15,2.5487499999999876,1.75,2.0,0.03,2.0098,0.1210653753026634,0.25,0.0,0.5
0.893491124260355,300.0,0.2699999999999999,7.859467455621291,1.8846153846153848,2.5384615384615388,0.5,8.668639053254436,0.1209876543209876,0.1153846153846153,0.0,0.72
0.5303125000000001,300.0,0.04,2.8662499999999973,1.75,1.9625,0.05,3.252500000000001,0.1220575414123801,0.25,1.0,0.65
0.5,300.0,0.2299999999999997,2.6124999999999887,1.75,2.0,0.05,2.044375000000004,0.1206896551724138,0.25,0.0,0.49
0.53615,300.0,0.19,2.580249999999995,1.75,1.955,0.06,1.8011500000000007,0.1210653753026634,0.25,1.0,0.28
0.893491124260355,573.0,0.2699999999999999,7.859467455621291,1.8846153846153848,2.5384615384615388,0.5,8.668639053254436,0.1209876543209876,0.1153846153846153,0.0,0.82
0.6447684665918922,375.0,0.0699999999999999,2.347700688992144,1.7721518987341771,2.1265822784810124,0.2,3.5039256529402354,0.124777183600713,0.2278481012658227,1.0,1.08
0.6240000000000001,300.0,0.43,2.657600000000002,1.8,2.16,0.06,3.532800000000002,0.1162790697674418,0.2,1.0,0.35
0.5674999999999999,300.0,0.14,3.053012499999997,1.75,2.045,0.03,1.8761500000000015,0.121443442054129,0.25,0.0,0.47
0.5313251081557442,375.0,0.0699999999999999,2.347700688992129,1.7721518987341771,2.050632911392405,0.05,2.1339528921647184,0.1221640488656195,0.2278481012658227,1.0,0.98
0.5691395609677934,300.0,0.0699999999999999,2.347700688992144,1.7721518987341771,2.075949367088607,0.1,2.6072744752443517,0.1230228471001757,0.2278481012658227,1.0,0.78
0.52735,300.0,0.14,2.947500000000009,1.75,1.995,0.02,3.1184,0.122763942476324,0.25,0.0,0.55
