MagpieData mean MendeleevNumber,frac p valence electrons,MagpieData mean NpValence,temperature_K,frac s valence electrons,MagpieData maximum MeltingT,MagpieData mean NpUnfilled,MagpieData range MeltingT,MagpieData avg_dev NUnfilled,MagpieData avg_dev NpValence,dopant_host_charge_mismatch,dopant_host_radius_mismatch,target_value
83.08666666666666,0.1924476797088262,2.8200000000000003,300.0,0.1251137397634213,1234.93,2.18,740.9300000000001,0.7955555555555556,1.2352,1.0,0.03,78.0
82.125,0.1896551724137931,2.75,300.0,0.1206896551724138,1234.93,1.75,740.9300000000001,0.5,1.375,0.0,0.2299999999999997,450.0
82.87231384307846,0.1925351895348638,2.806096951524238,0.0,0.12133317331596,1234.93,1.804097951024488,512.2700000000001,0.5156254955980283,1.2999759490569558,0.0,0.0,0.0
82.525,0.1851851851851852,2.75,300.0,0.1178451178451178,1234.93,1.75,690.5300000000001,0.5,1.375,0.0,0.2699999999999999,171.99999999999997
82.43142144638404,0.1897427071680578,2.7493765586034913,500.0,0.1208157645641511,1234.93,1.7468827930174562,512.2700000000001,0.5343188164252709,1.378116429624194,0.0,0.2499999999999999,250.0
82.4625,0.1913043478260869,2.75,300.0,0.1217391304347826,1234.93,1.75,846.57,0.5000000000000001,1.3750000000000002,0.0,0.2299999999999997,229.99999999999997
83.93364928909952,0.2009615384615384,2.971563981042654,300.0,0.1227564102564102,1234.93,1.919431279620853,512.2700000000001,0.5179128950382964,1.0984928460726398,0.0,0.0,188.0
82.525,0.1899345053429851,2.755,300.0,0.1206480523957256,1234.93,1.745,512.2700000000001,0.4974999999999999,1.3775,1.0,0.21,-227.99999999999997
82.3225,0.1927221338986045,2.7275,300.0,0.1236530648295354,1234.93,1.7275,846.57,0.5184124999999999,1.4046625,1.0,0.04,207.59999999999997
82.67901234567901,0.1930272108843537,2.802469135802469,475.0,0.1224489795918367,1519.0,1.7901234567901236,796.34,0.5523548239597623,1.3147386069196767,1.0,0.0699999999999999,239.99999999999997
85.0,0.209090909090909,3.136363636363636,300.0,0.1242424242424242,1234.93,2.0454545454545454,512.2700000000001,0.5206611570247931,0.9421487603305784,2.0,0.39,49.99999999999999
83.95287958115182,0.2010619469026548,2.9738219895287954,300.0,0.1228318584070796,1234.93,1.9267015706806283,512.2700000000001,0.5219155176667306,1.0898824045393494,0.0,0.0,150.0
82.525,0.1899345053429851,2.755,300.0,0.1206480523957256,1234.93,1.745,512.2700000000001,0.4974999999999999,1.3775,1.0,0.21,-179.99999999999997
82.46000000000001,0.1872863978127136,2.74,300.0,0.1196172248803827,1234.93,1.76,634.32,0.5149999999999999,1.3847999999999998,1.0,0.43,263.0
82.25,0.1891891891891891,2.7125,300.0,0.1220575414123801,1234.93,1.7125,740.9300000000001,0.5303125000000001,1.4240625000000002,1.0,0.04,205.0
82.50750000000001,0.1914375217542638,2.75,300.0,0.1228680821441002,1234.93,1.75,740.9300000000001,0.5225,1.375,1.0,0.43,209.99999999999997
83.16666666666667,0.1931818181818182,2.8333333333333335,725.0,0.125,1234.93,2.1666666666666665,740.9300000000001,0.7777777777777778,1.222222222222222,1.0,0.03,242.0
82.25,0.1891891891891891,2.7125,500.0,0.1220575414123801,1234.93,1.7125,740.9300000000001,0.5303125000000001,1.4240625000000002,1.0,0.04,209.99999999999997
77.5609756097561,0.1782820097244732,2.682926829268293,300.0,0.1150729335494327,1234.93,1.707317073170732,864.0600000000001,0.5234979179060084,1.439619274241523,0.0,0.1300000000000001,-150.0
81.6,0.1890243902439024,2.7125,300.0,0.1219512195121951,1234.93,1.7125,512.2700000000001,0.6125,1.4240625,0.0,0.2719999999999999,240.91
82.0,0.1896551724137931,2.75,500.0,0.1206896551724138,1234.93,1.75,740.9300000000001,0.5,1.375,0.0,0.2299999999999997,300.0
81.88,0.184981684981685,2.693333333333334,623.0,0.1153846153846153,1234.93,1.3866666666666667,634.32,0.4522666666666666,1.742222222222222,1.0,0.43,260.0
81.65333333333332,0.1860465116279069,2.6666666666666665,423.0,0.1162790697674418,1357.77,1.3333333333333333,635.11,0.4444444444444444,1.7777777777777777,1.0,0.42,239.99999999999997
82.34,0.1879751209398756,2.72,610.0,0.1209398756046993,1234.93,1.72,542.2500000000001,0.5244000000000001,1.4144,1.0,0.02,274.99999999999994
84.75,0.1459627329192546,2.9375,300.0,0.0962732919254658,1234.93,2.6875,634.32,0.96875,1.0703125,1.0,0.04,-104.0
82.5,0.1896551724137931,2.75,300.0,0.1206896551724138,1234.93,1.75,512.2700000000001,0.5,1.375,0.0,0.2299999999999997,100.0
83.63461538461539,0.1851851851851852,2.884615384615385,300.0,0.1209876543209876,1234.93,2.4230769230769234,690.5300000000001,0.893491124260355,1.142011834319527,0.0,0.2699999999999999,245.6
82.425,0.1888160165688643,2.735,300.0,0.1208146358301691,1234.93,1.765,729.8500000000001,0.5224999999999999,1.3895499999999998,1.0,0.07,199.99999999999997
82.5175,0.1865038996269921,2.75,300.0,0.1186842997626314,1234.93,1.75,690.5300000000001,0.5,1.375,0.0,0.2699999999999999,222.0
82.25,0.1891891891891891,2.7125,500.0,0.1220575414123801,1234.93,1.7125,740.9300000000001,0.5303125000000001,1.4240625000000002,1.0,0.04,215.0
81.45679012345678,0.1892361111111111,2.691358024691358,325.0,0.125,1519.0,1.6790123456790125,796.34,0.66026520347508,1.4619722603261698,1.0,0.0699999999999999,179.99999999999997
83.82203202722184,0.199897098982863,2.9518812421263165,318.0,0.1229174637098015,1234.93,1.9388547605750872,512.2700000000001,0.5440630177462694,1.1161970134886927,1.0,0.03,59.99999999999999
82.46000000000001,0.1872863978127136,2.74,623.0,0.1196172248803827,1234.93,1.76,634.32,0.5149999999999999,1.3847999999999998,1.0,0.43,260.0
84.5,0.1495726495726495,2.9166666666666665,300.0,0.0982905982905982,1234.93,2.5833333333333335,634.32,0.9444444444444444,1.0972222222222223,1.0,0.04,-6.799999999999999
81.72,0.1858736059479553,2.6666666666666665,300.0,0.1171003717472119,1234.93,1.3333333333333333,542.2500000000001,0.4622222222222222,1.7777777777777777,1.0,0.02,274.99999999999994
82.375,0.1882556131260794,2.7249999999999996,300.0,0.1208981001727115,1234.93,1.775,805.1800000000001,0.5375,1.405625,0.0,0.0399999999999999,229.99999999999997
81.9525,0.1892782789729354,2.7275,300.0,0.121443442054129,1799.0,1.7275,1076.34,0.5674999999999999,1.4046625,0.0,0.14,252.0
83.93979057591623,0.2010619469026548,2.973821989528796,750.0,0.1228318584070796,1234.93,1.9267015706806283,740.9300000000001,0.5219155176667306,1.0898824045393494,0.0,0.0,179.99999999999997
82.44999999999999,0.1913043478260869,2.75,300.0,0.1217391304347826,1234.93,1.75,846.57,0.5,1.375,0.0,0.2299999999999997,229.99999999999997
82.28999999999999,0.1844527787248551,2.705,300.0,0.1193317422434367,1234.93,1.705,1000.61,0.53615,1.43365,1.0,0.2599999999999999,245.0
82.3175,0.1895300621976502,2.7424999999999997,300.0,0.1209398756046993,1799.0,1.7425,1076.34,0.5224999999999999,1.3849625,0.0,0.14,250.0
82.15,0.1869369369369369,2.6975,300.0,0.12006237006237,1234.93,1.6975,512.2700000000001,0.516275,1.4431625,2.0,0.39,310.8
82.97297297297297,0.1934343434343434,2.8230958230958225,300.0,0.1213804713804713,1234.93,1.8058968058968057,512.2700000000001,0.5077120900216722,1.2901617275081652,0.0,0.0,254.0
82.03999999999999,0.1874569262577532,2.72,400.0,0.1206064782908339,1234.93,1.72,512.2700000000001,0.5244000000000001,1.4144,0.0,0.1079999999999999,330.0
82.525,0.1899345053429851,2.755,300.0,0.1206480523957256,1234.93,1.745,512.2700000000001,0.4974999999999999,1.3775,1.0,0.21,-199.99999999999997
82.3125,0.1896551724137931,2.75,300.0,0.1206896551724138,1234.93,1.75,740.9300000000001,0.5,1.375,0.0,0.2299999999999997,150.0
81.95,0.1867007672634271,2.7375,300.0,0.1193520886615515,1234.93,1.7625,740.9300000000001,0.51875,1.3871875,1.0,0.43,167.111
82.42,0.1888160165688643,2.735,300.0,0.1208146358301691,1234.93,1.735,542.2500000000001,0.5123500000000001,1.39485,1.0,0.02,250.0
81.9375,0.1882480957562568,2.703125,400.0,0.1207834602829162,2180.0,1.703125,1457.34,0.5703125,1.43603515625,0.0,0.0399999999999999,637.0
81.96,0.1892782789729354,2.7275,300.0,0.121443442054129,1234.93,1.7275,512.2700000000001,0.5674999999999999,1.4046625,0.0,0.2719999999999999,214.9
83.38942307692307,0.1979047307251596,2.90625,300.0,0.1224422982484858,1234.93,1.8677884615384617,512.2700000000001,0.5806675295857988,1.1876502403846154,0.0,0.2499999999999999,285.0
82.4875,0.1896551724137931,2.75,300.0,0.1206896551724138,1234.93,1.75,740.9300000000001,0.5,1.375,0.0,0.2299999999999997,229.99999999999997
82.44389027431423,0.189533482527113,2.7456359102244385,300.0,0.1208469616112928,1811.0,1.743142144638404,1088.34,0.5024968750194339,1.3830884136292687,0.0,0.1149999999999999,285.0
