dopant_host_charge_mismatch,dopant_concentration,temperature_K,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData maximum MendeleevNumber,MagpieData maximum Electronegativity,MagpieData mean SpaceGroupNumber,frac_Sb,frac s valence electrons,dopant_host_radius_mismatch,target_value
1.0,0.02,300.0,0.875,30.39541666665,90.0,2.33,181.125,0.125,0.1027397260273972,0.04,81.36
1.0,0.04,300.0,0.9444444444444444,30.742499999983337,90.0,2.33,183.58333333333337,0.0833333333333333,0.0982905982905982,0.04,145.58
1.0,0.06,300.0,0.96875,30.91604166665,90.0,2.33,184.8125,0.0625,0.0962732919254658,0.04,66.17
1.0,0.08,300.0,0.98,31.02016666665,90.0,2.33,185.55,0.05,0.0951219512195122,0.04,205.94
1.0,0.1,300.0,0.986111111111111,31.089583333316664,90.0,2.33,186.04166666666663,0.0416666666666666,0.0943775100401606,0.04,156.06
0.0,0.15,300.0,0.5,29.02254166665125,90.0,2.55,168.57500000000002,0.25,0.1206896551724138,0.2299999999999997,340.0
1.0,0.05,300.0,0.5303125000000001,28.914166666651248,90.0,2.55,168.92499999999998,0.2375,0.1220575414123801,0.04,293.0
0.0,0.15,300.0,0.5,29.02254166665125,90.0,2.55,168.57500000000002,0.25,0.1206896551724138,0.2299999999999997,220.0
1.0,0.04,300.0,0.515,29.08814166665125,90.0,2.55,168.265,0.25,0.1221374045801526,0.43,200.0
1.0,0.05,300.0,0.5187499999999999,29.10454166665125,90.0,2.55,168.1875,0.25,0.1225021720243266,0.43,280.0
1.0,0.06,300.0,0.5225,29.120941666651248,90.0,2.55,168.11,0.25,0.1228680821441002,0.43,180.0
1.0,0.05,300.0,0.5303125000000001,28.914166666651248,90.0,2.55,168.92499999999998,0.2375,0.1220575414123801,0.04,250.0
1.0,0.05,500.0,0.5303125000000001,28.914166666651248,90.0,2.55,168.92499999999998,0.2375,0.1220575414123801,0.04,280.0
1.0,0.05,300.0,0.5303125000000001,28.914166666651248,90.0,2.55,168.92499999999998,0.2375,0.1220575414123801,0.04,300.0
1.0,0.05,500.0,0.5303125000000001,28.914166666651248,90.0,2.55,168.92499999999998,0.2375,0.1220575414123801,0.04,380.0
1.0,0.05,325.0,0.5523548239597623,29.536842628051847,90.0,2.1,172.65432098765433,0.2592592592592593,0.1224489795918367,0.0699999999999999,120.0
1.0,0.05,475.0,0.5523548239597623,29.536842628051847,90.0,2.1,172.65432098765433,0.2592592592592593,0.1224489795918367,0.0699999999999999,130.0
1.0,0.05,575.0,0.5523548239597623,29.536842628051847,90.0,2.1,172.65432098765433,0.2592592592592593,0.1224489795918367,0.0699999999999999,120.0
1.0,0.1,325.0,0.5883249504648682,29.27668937134691,90.0,2.1,173.28395061728395,0.2469135802469136,0.1232876712328767,0.0699999999999999,350.0
1.0,0.1,475.0,0.5883249504648682,29.27668937134691,90.0,2.1,173.28395061728395,0.2469135802469136,0.1232876712328767,0.0699999999999999,280.0
1.0,0.1,575.0,0.5883249504648682,29.27668937134691,90.0,2.1,173.28395061728395,0.2469135802469136,0.1232876712328767,0.0699999999999999,220.0
1.0,0.2,325.0,0.66026520347508,28.756382857937034,90.0,2.1,174.5432098765432,0.2222222222222222,0.125,0.0699999999999999,220.0
1.0,0.2,475.0,0.66026520347508,28.756382857937034,90.0,2.1,174.5432098765432,0.2222222222222222,0.125,0.0699999999999999,150.0
1.0,0.2,575.0,0.66026520347508,28.756382857937034,90.0,2.1,174.5432098765432,0.2222222222222222,0.125,0.0699999999999999,120.0
0.0,0.01,300.0,0.5,29.3099499999835,90.0,2.55,173.06,0.25,0.1206896551724138,0.2299999999999997,180.0
0.0,0.01,500.0,0.5,29.3099499999835,90.0,2.55,173.06,0.25,0.1206896551724138,0.2299999999999997,280.0
1.0,0.01,300.0,0.5075000000000003,29.278549999983497,90.0,2.55,172.9925,0.2475,0.1207312866505691,0.42,184.0
1.0,0.01,300.0,0.5075000000000003,29.278549999983497,90.0,2.55,172.9925,0.2475,0.1207312866505691,0.42,222.0
1.0,0.01,473.0,0.5075000000000003,29.278549999983497,90.0,2.55,172.9925,0.2475,0.1207312866505691,0.42,222.0
1.0,0.03,300.0,0.5225000000000004,29.1273166666505,90.0,2.55,171.47750000000002,0.2425,0.1208146358301691,0.42,161.0
1.0,0.05,300.0,0.5375000000000003,28.976083333317497,90.0,2.55,169.96250000000003,0.2375,0.1208981001727115,0.42,113.0
0.0,0.05,300.0,0.5,29.24362499998375,90.0,2.55,172.025,0.25,0.1206896551724138,0.2299999999999997,130.0
0.0,0.1,300.0,0.5,29.133083333317497,90.0,2.55,170.29999999999998,0.25,0.1206896551724138,0.2299999999999997,120.0
1.0,0.03,300.0,0.5184124999999999,29.289141666649996,90.0,2.1,173.95999999999998,0.2425,0.1215066828675577,0.04,330.0
1.0,0.03,573.0,0.5184124999999999,29.289141666649996,90.0,2.1,173.95999999999998,0.2425,0.1215066828675577,0.04,350.0
