temperature_K,MagpieData minimum NUnfilled,MagpieData avg_dev GSvolume_pa,frac d valence electrons,MagpieData mean SpaceGroupNumber,MagpieData mean MendeleevNumber,MagpieData mean MeltingT,frac p valence electrons,MagpieData avg_dev Electronegativity,MagpieData range CovalentRadius,dopant_host_charge_mismatch,dopant_host_radius_mismatch,target_value
300.0,1.0,6.463658333325124,0.689119170984456,173.76,82.3425,893.84735,0.1899827288428325,0.06125,28.0,0.0,0.1300000000000001,0.4
300.0,1.0,6.415233333325251,0.6885813148788927,173.77,82.185,891.6872000000001,0.1903114186851211,0.065,28.0,0.0,0.1300000000000001,0.35
300.0,1.0,6.444809616915463,0.6887667468223977,173.65174129353233,82.38059701492539,892.9956716417911,0.1903126073514256,0.0610875968416623,28.0,0.0,0.1300000000000001,0.5
300.0,1.0,6.396545630050576,0.6882312456985548,173.6616915422886,82.22388059701494,890.8462686567166,0.1906400550584996,0.0648251280908886,28.0,0.0,0.1300000000000001,0.55
673.0,1.0,6.513503333325,0.6896064024285075,173.764,82.465,896.0911099999998,0.1896236503501328,0.0581920350000001,66.0,0.0,0.2499999999999999,1.5
673.0,1.0,6.504276211658349,0.6895112613389439,173.7345,82.475,895.9255350000001,0.1897009623012451,0.0581074999999999,66.0,2.0,0.1400000000000001,1.5
723.0,1.0,6.1906249999861105,0.6486486486486485,177.16666666666666,83.87499999999999,928.3816666666668,0.1891891891891891,0.0495833333333334,28.0,0.0,0.2699999999999999,1.6
523.0,1.0,6.1906249999861105,0.6486486486486485,177.16666666666666,83.87499999999999,928.3816666666668,0.1891891891891891,0.0495833333333334,28.0,0.0,0.2699999999999999,1.23
673.0,1.0,6.6345460833245,0.6903693476009666,174.635,82.41,900.6218000000001,0.1888160165688643,0.058232,25.0,1.0,0.03,1.31
300.0,1.0,6.5945806666580005,0.6901311249137336,174.34,82.44,899.0836999999999,0.189095928226363,0.057992,25.0,1.0,0.03,0.7
675.0,1.0,6.5945806666580005,0.6901311249137336,174.34,82.44,899.0836999999999,0.189095928226363,0.057992,25.0,1.0,0.03,1.15
300.0,1.0,6.6345460833245,0.6903693476009666,174.635,82.41,900.6218000000001,0.1888160165688643,0.058232,25.0,1.0,0.03,0.8
675.0,1.0,6.6345460833245,0.6903693476009666,174.635,82.41,900.6218000000001,0.1888160165688643,0.058232,25.0,1.0,0.03,1.3
300.0,1.0,6.673655999990999,0.6906077348066298,174.93,82.38,902.1599,0.1885359116022099,0.058468,25.0,1.0,0.03,0.75
675.0,1.0,6.673655999990999,0.6906077348066298,174.93,82.38,902.1599,0.1885359116022099,0.058468,25.0,1.0,0.03,1.1
648.0,1.0,6.716391645824749,0.6902455897613283,173.95999999999998,82.2975,902.48915,0.1886890349360083,0.0593183749999999,19.0,0.0,0.15,1.6
648.0,1.0,6.716391645824749,0.6902455897613283,173.95999999999998,82.2975,902.48915,0.1886890349360083,0.0593183749999999,19.0,0.0,0.15,1.6
300.0,1.0,5.463101851838887,0.6741573033707865,160.58333333333334,83.66666666666667,905.2458333333332,0.196629213483146,0.141111111111111,25.0,0.0,0.0,0.35
698.0,1.0,5.463101851838887,0.6741573033707865,160.58333333333334,83.66666666666667,905.2458333333332,0.196629213483146,0.141111111111111,25.0,0.0,0.0,1.52
300.0,1.0,5.37621481480222,0.6711409395973155,159.6,84.0,899.7266666666667,0.1991051454138702,0.1404444444444442,25.0,0.0,0.0,0.39
698.0,1.0,5.37621481480222,0.6711409395973155,159.6,84.0,899.7266666666667,0.1991051454138702,0.1404444444444442,25.0,0.0,0.0,1.41
650.0,1.0,6.6220329166577505,0.691323885240235,173.2775,82.325,887.7119749999999,0.1876944348427238,0.0642471249999998,7.0,0.0,0.0399999999999999,1.35
300.0,1.0,6.560299583324751,0.6903693476009666,173.5475,82.425,892.4522749999999,0.1888160165688643,0.0604321249999999,7.0,0.0,0.0399999999999999,0.5
300.0,1.0,6.591531249991249,0.690846286701209,173.4125,82.375,890.0821249999999,0.1882556131260794,0.0623531250000001,7.0,0.0,0.0399999999999999,0.52
300.0,1.0,6.6220329166577505,0.691323885240235,173.2775,82.325,887.7119749999999,0.1876944348427238,0.0642471249999998,7.0,0.0,0.0399999999999999,0.55
600.0,1.0,6.475628944617395,0.6895183549544576,173.43932949712286,82.514385789342,892.4799249437078,0.1896563621308307,0.0579575787670124,7.0,1.0,0.07,1.1
300.0,1.0,6.514239583324999,0.6897740989825831,173.6875,82.48750000000001,895.0107499999999,0.1895154336954647,0.057811375,7.0,1.0,0.07,0.2
300.0,1.0,6.518552083325,0.6900120752113162,173.5625,82.4625,893.0172499999999,0.1892358116267034,0.0584273749999999,7.0,1.0,0.07,0.35
300.0,1.0,6.522864583325,0.6902502157031923,173.4375,82.4375,891.0237499999998,0.1889559965487489,0.059034375,7.0,1.0,0.07,0.2
300.0,1.0,6.5271770833249985,0.6904885206283444,173.3125,82.4125,889.03025,0.1886759882616951,0.059632375,7.0,1.0,0.07,0.2
300.0,1.0,6.520091666658249,0.6894174422612892,173.68,82.525,895.1018999999999,0.1899345053429851,0.0576249999999999,7.0,1.0,0.21,0.23
300.0,1.0,6.520091666658249,0.6894174422612892,173.68,82.525,895.1018999999999,0.1899345053429851,0.0576249999999999,7.0,1.0,0.21,0.49
300.0,1.0,6.520091666658249,0.6894174422612892,173.68,82.525,895.1018999999999,0.1899345053429851,0.0576249999999999,7.0,1.0,0.21,0.51
300.0,1.0,6.520091666658249,0.6894174422612892,173.68,82.525,895.1018999999999,0.1899345053429851,0.0576249999999999,7.0,1.0,0.21,0.31
520.0,1.0,6.512083333324999,0.6896551724137931,173.75,82.5,896.0074999999999,0.1896551724137931,0.0575,7.0,0.0,0.2299999999999997,0.65
520.0,1.0,6.595911458324218,0.6896551724137931,165.125,82.4375,881.71625,0.1896551724137931,0.083125,25.0,0.0,0.2299999999999997,0.65
300.0,1.0,6.595911458324218,0.6896551724137931,165.125,82.4375,881.71625,0.1896551724137931,0.083125,25.0,0.0,0.2299999999999997,0.22
520.0,1.0,6.595911458324218,0.6896551724137931,165.125,82.4375,881.71625,0.1896551724137931,0.083125,25.0,0.0,0.2299999999999997,0.65
300.0,1.0,6.018333333324999,0.6896551724137931,139.25,82.25,838.8425,0.1896551724137931,0.1962499999999998,25.0,0.0,0.2299999999999997,0.08
520.0,1.0,6.018333333324999,0.6896551724137931,139.25,82.25,838.8425,0.1896551724137931,0.1962499999999998,25.0,0.0,0.2299999999999997,0.42
300.0,1.0,4.3012500000000005,0.6896551724137931,104.75,82.0,781.6775,0.1896551724137931,0.2799999999999999,25.0,0.0,0.2299999999999997,0.06
520.0,1.0,4.3012500000000005,0.6896551724137931,104.75,82.0,781.6775,0.1896551724137931,0.2799999999999999,25.0,0.0,0.2299999999999997,0.15
300.0,1.0,4.577604166665625,0.6896551724137931,113.375,82.0625,795.96875,0.1896551724137931,0.269609375,25.0,0.0,0.2299999999999997,0.01
520.0,1.0,4.577604166665625,0.6896551724137931,113.375,82.0625,795.96875,0.1896551724137931,0.269609375,25.0,0.0,0.2299999999999997,0.05
300.0,1.0,6.378910254936636,0.6880158804041667,173.24379178005023,82.67274117368932,892.7044166511575,0.1910645733196889,0.0563188191061836,7.0,0.0,0.0,0.73
520.0,1.0,6.523874499991584,0.6896551724137931,173.06,82.49499999999999,894.8642,0.1896551724137931,0.058625,25.0,0.0,0.2299999999999997,1.48
523.0,1.0,6.643975666657999,0.690846286701209,174.34,82.37,899.20135,0.18860103626943,0.058584,25.0,1.0,0.42,1.15
623.0,1.0,6.643975666657999,0.690846286701209,174.34,82.37,899.20135,0.18860103626943,0.058584,25.0,1.0,0.42,1.77
303.0,1.0,6.324703999991999,0.687757909215956,173.16,82.7,892.6959999999999,0.1911966987620358,0.0557760000000001,7.0,0.0,0.0,0.35
303.0,1.0,6.512083333324999,0.6896551724137931,173.75,82.5,896.0074999999999,0.1896551724137931,0.0575,7.0,0.0,0.0,0.94
303.0,1.0,6.693370666658,0.6915629322268326,174.34,82.3,899.319,0.1881051175656984,0.0591759999999999,7.0,0.0,0.0,1.0
623.0,1.0,6.553759749991501,0.6898930665746809,174.04500000000002,82.47,897.5455999999999,0.1893756467747498,0.057748,25.0,1.0,0.03,1.7
625.0,1.0,6.703491166658079,0.6839705366538057,169.87,82.485,879.6084999999998,0.1932655208698702,0.0766000000000001,40.0,0.0,0.14,2.0
300.0,1.0,6.703491166658079,0.6839705366538057,169.87,82.485,879.6084999999998,0.1932655208698702,0.0766000000000001,40.0,0.0,0.14,0.73
